epoch,lr-AdamW,step,train_giou,train_loss,val_giou,val_loss
,0.0001,0,,,,
0,,499,,,0.20989589393138885,16.50852394104004
0,,499,0.0630975067615509,16.067829132080078,,
,0.0001,500,,,,
1,,999,,,0.2180124819278717,15.734635353088379
1,,999,0.20951879024505615,12.44296932220459,,
,0.0001,1000,,,,
2,,1499,,,0.23450399935245514,15.405247688293457
2,,1499,0.2334418147802353,12.139618873596191,,
,0.0001,1500,,,,
3,,1999,,,0.2522892951965332,15.147531509399414
3,,1999,0.2541998326778412,11.939879417419434,,
,0.0001,2000,,,,
4,,2499,,,0.2659660279750824,15.033092498779297
4,,2499,0.2685357332229614,11.750476837158203,,
,0.0001,2500,,,,
5,,2999,,,0.25777482986450195,15.061532974243164
5,,2999,0.27948328852653503,11.5404634475708,,
,0.0001,3000,,,,
6,,3499,,,0.266338050365448,14.925095558166504
6,,3499,0.285296231508255,11.607906341552734,,
